plc_address,modbus_address,group,description
D0,40001,任务号,1、下料：当班开始，将加样料架上面不需要的或者数量不够的加样头下线； 2、上料：补充当班需要的但加样料架没有的物料； 3、加样加球磨珠：执行加样动作，上位机发送取加样头位置和重量，机器人执行动作；球磨珠发送需要添加的数量; 4、烧结：发送取干锅位置、对应马弗炉编号、工艺参数； 5、马弗炉下料 6、加珠流程  使用上托盘流程代替，托盘类型和坩埚类型置为0 7、上托盘流程 8、声共振上料流程 9、声共振下料流程 | 数据值说明： 一、托盘类型： 1：4槽位托盘 2：5槽位托盘 3：6槽位托盘 二、坩埚类型： 1：AI2O3 30*30  2：AI2O3 35*40  3：AI2O3 40*40 4：ZrO2 40*35 5：ZrO2 40*46 三、石墨舟类型： 1:椭圆石墨舟  2:圆形石墨舟  3:石墨板  4:其它
D1,40002,下料,取加样料架编号1 | 上料 | 取人工料架编号1 | 加样加球磨珠 | 取坩埚位置（正常1-6，99从外面取） | 烧结 | 位置1是否有料:0、空；1、有料； | 马弗炉 焦耳热 取料 | 取料位置1 | 加珠流程 | 取料罐位置（固定1） | 上托盘流程 | 取托盘位置（1：方仓  2：人工料架） | 声共振流程 | 取托盘位置（1：加样料架，2：人工区） | 声共振下料 | 取托盘位置（固定1）
D2,40003,,放人工料架编号1 | 放加样料架编号1 | 放坩埚位置（从外面取需要这个信息） | 1号工艺温度01 | 放料位置1 | 放料罐位置（固定1） | 放托盘位（固定1） | 放托盘位置（2：固定人工区） | 放托盘位置（固定1）
D3,40004,,取加样料架编号2 | 取人工料架编号2 | 取放加样料架编号1 | 1号工艺温度02 | 取料位置2 | 托盘类型（1、2、3） | 加速度1（g）
D4,40005,,放人工料架编号2 | 放加样料架编号2 | 加样重量1 | 1号工艺温度03 | 放料位置2 | 托盘位1有无干锅 （有写坩埚类型（1-5），无0） | 频率1（Hz）
D5,40006,,取加样料架编号3 | 取人工料架编号3 | 1号工艺温度04 | 取料位置3 | 托盘位2有无干锅 | 时间1（s）
D6,40007,,放人工料架编号3 | 放加样料架编号3 | 精度1 | 1号工艺温度05 | 放料位置3 | 托盘位3有无干锅 | 加速度2（g）
D7,40008,,取加样料架编号4 | 取人工料架编号4 | 1号工艺温度06 | 取料位置4 | 托盘位4有无干锅 | 频率2（Hz）
D8,40009,,放人工料架编号4 | 放加样料架编号4 | 取放加样料架编号2 | 1号工艺时间01 | 放料位置4 | 托盘位5有无干锅 | 时间2（s）
D9,40010,,取加样料架编号5 | 取人工料架编号5 | 加样重量2 | 1号工艺时间02 | 石墨舟类型 | 托盘位6有无干锅 | 加速度3（g）
D10,40011,,放人工料架编号5 | 放加样料架编号5 | 1号工艺时间03 | 放料位置5 | 有无加珠瓶（0没有 1方舱 2人工料架） | 频率3（Hz）
D11,40012,,取加样料架编号6 | 取人工料架编号6 | 精度2 | 1号工艺时间04 | 时间3（s）
D12,40013,,放人工料架编号6 | 放加样料架编号6 | 1号工艺时间05 | 加速度4（g）
D13,40014,,取加样料架编号7 | 取人工料架编号7 | 取放加样料架编号3 | 1号工艺时间06 | 频率4（Hz）
D14,40015,,放人工料架编号7 | 放加样料架编号7 | 加样重量3 | 时间4（s）
D15,40016,,取加样料架编号8 | 取人工料架编号8 | 加速度5（g）
D16,40017,,放人工料架编号8 | 放加样料架编号8 | 精度3 | 位置2是否有料 | 频率5（Hz）
D17,40018,,取加样料架编号9 | 取人工料架编号9 | 2号工艺温度01 | 时间5（s）
D18,40019,,放人工料架编号9 | 放加样料架编号9 | 取放加样料架编号4 | 2号工艺温度02 | 加速度6（g）
D19,40020,,取加样料架编号10 | 取人工料架编号10 | 加样重量4 | 2号工艺温度03 | 频率6（Hz）
D20,40021,,放人工料架编号10 | 放加样料架编号10 | 2号工艺温度04 | 时间6（s）
D21,40022,,精度4 | 2号工艺温度05
D22,40023,,2号工艺温度06
D23,40024,,取放加样料架编号5 | 2号工艺时间01
D24,40025,,加样重量5 | 2号工艺时间02
D25,40026,,2号工艺时间03
D26,40027,,精度5 | 2号工艺时间04
D27,40028,,2号工艺时间05
D28,40029,,取放加样料架编号6 | 2号工艺时间06
D29,40030,,加样重量6
D30,40031,,
D31,40032,,精度6 | 位置3是否有料
D32,40033,,3号工艺温度01
D33,40034,,取放加样料架编号7 | 3号工艺温度02
D34,40035,,加样重量7 | 3号工艺温度03
D35,40036,,3号工艺温度04
D36,40037,,精度7 | 3号工艺温度05
D37,40038,,3号工艺温度06
D38,40039,,取放加样料架编号8 | 3号工艺时间01
D39,40040,,加样重量8 | 3号工艺时间02
D40,40041,,3号工艺时间03
D41,40042,,精度8 | 3号工艺时间04
D42,40043,,3号工艺时间05
D43,40044,,取放加样料架编号9 | 3号工艺时间06
D44,40045,,加样重量9
D45,40046,,
D46,40047,,精度9 | 位置4是否有料
D47,40048,,4号工艺温度01
D48,40049,,取放加样料架编号10 | 4号工艺温度02
D49,40050,,加样重量10 | 4号工艺温度03
D50,40051,,4号工艺温度04
D51,40052,,精度10 | 4号工艺温度05
D52,40053,,4号工艺温度06
D53,40054,,取放加样料架编号11 | 4号工艺时间01
D54,40055,,加样重量11 | 4号工艺时间02
D55,40056,,4号工艺时间03
D56,40057,,精度11 | 4号工艺时间04
D57,40058,,4号工艺时间05
D58,40059,,取放加样料架编号12 | 4号工艺时间06
D59,40060,,加样重量12
D60,40061,,
D61,40062,,精度12 | 人工料架小干锅取料位
D62,40063,,模式（1：恒温  2：斜率多段）
D63,40064,,取放加样料架编号13 | 石墨舟类型
D64,40065,,加样重量13 | 恒温温度设置
D65,40066,,恒温保温时间设置（s）
D66,40067,,精度13 | 斜率温度1
D67,40068,,斜率温度2
D68,40069,,取放加样料架编号14 | 斜率温度3
D69,40070,,加样重量14 | 斜率温度4
D70,40071,,斜率温度5
D71,40072,,精度14 | 斜率速度1
D72,40073,,斜率速度2
D73,40074,,取放加样料架编号15 | 斜率速度3
D74,40075,,加样重量15 | 斜率速度4
D75,40076,,斜率速度5
D76,40077,,精度15 | 斜率保温时间1（s）
D77,40078,,斜率保温时间2（s）
D78,40079,,斜率保温时间3（s）
D79,40080,,坩埚类型（1-5） | 斜率保温时间4（s）
D80,40081,,球磨珠数量 | 斜率保温时间5（s）
D81,40082,,
D82,40083,,
D83,40084,,
D84,40085,,
D85,40086,,
D86,40087,,
D87,40088,,
D88,40089,,
D89,40090,上料流程上料完成,
D90,40091,烧结流程手工上料完成,
D91,40092,,
D92,40093,,
D93,40094,,
D94,40095,,
D95,40096,舱门关闭请求（上托盘从方舱进入使用）,
D96,40097,,
D97,40098,,
D98,40099,,
D99,40100,下料任务状态,0：未执行； 1、执行中； 2、执行完成； 3、任务失败
D100,40101,上料任务状态,0：未执行； 1、执行中； 2、执行完成； 3、任务失败
D101,40102,加珠加球磨任务状态,0：未执行； 1、执行中； 2、执行完成； 3、任务失败
D102,40103,烧结任务状态,0：未执行； 1、执行中； 2、执行完成； 3、任务失败
D103,40104,马弗炉下料任务状态,0：未执行； 1、执行中； 2、执行完成； 3、任务失败
D104,40105,加珠任务状态,0：未执行； 1、执行中； 2、执行完成； 3、任务失败
D105,40106,上托盘任务状态,0：未执行； 1、执行中； 2、执行完成； 3、任务失败
D106,40107,声共振上料任务状态,0：未执行； 1、执行中； 2、执行完成； 3、任务失败
D107,40108,方舱进料状态,1. 外舱门已打开 2. 正在关外舱门 3. 正在抽放气 4. 正在开内舱门 5. 正在搬运托盘 6. 正在取球磨珠料瓶 7. 正在关内舱门
D108,40109,声共振状态,0：无；1：烧结中；2：完成；
D109,40110,马弗炉1状态,0：无；1：烧结中；2：完成；
D110,40111,马弗炉2状态,
D111,40112,马弗炉3状态,
D112,40113,马弗炉4状态,
D113,40114,焦耳热状态,
D114,40115,声共振下料任务状态,0：未执行； 1、执行中； 2、执行完成； 3、任务失败
D115,40116,,
D116,40117,,
D117,40118,,
D118,40119,,
D119,40120,加样重量1,
D120,40121,,
D121,40122,加样重量2,
D122,40123,,
D123,40124,加样重量3,
D124,40125,,
D125,40126,加样重量4,
D126,40127,,
D127,40128,加样重量5,
D128,40129,,
D129,40130,加样重量6,
D130,40131,,
D131,40132,加样重量7,
D132,40133,,
D133,40134,加样重量8,
D134,40135,,
D135,40136,加样重量9,
D136,40137,,
D137,40138,加样重量10,
D138,40139,,
D139,40140,加样重量11,
D140,40141,,
D141,40142,加样重量12,
D142,40143,,
D143,40144,加样重量13,
D144,40145,,
D145,40146,加样重量14,
D146,40147,,
D147,40148,加样重量15,
D148,40149,,
D149,40150,加样结果1,1：OK；2：NG；
D150,40151,加样结果2,
D151,40152,加样结果3,
D152,40153,加样结果4,
D153,40154,加样结果5,
D154,40155,加样结果6,
D155,40156,加样结果7,
D156,40157,加样结果8,
D157,40158,加样结果9,
D158,40159,加样结果10,
